DemAffl,DemAge,PromSpend,PromTime,TargetBuy
5,70,0.02,8,1
10,65,0.01,7,1
11,68,0.01,8,0
11,74,0.01,8,0
13,62,0.01,5,0
10,62,2038.76,3,0
7,60,11000,2,0
9,51,300,11,0
6,64,0.01,9,0
16,37,0.01,4,1
8,54,1420,1,0
5,70,6104.66,8,0
9,66,500,12,0
9,74,6000,2,0
7,66,1000,5,0
6,46,0.01,8,0
7,75,4000,7,0
7,43,0.01,5,1
7,62,20000,4,0
8,37,1000,9,1
9,49,0.01,8,0
3,50,9800,3,0
15,35,1630,5,1
10,71,1500,5,0
7,44,1000,1,0
8,42,0.01,5,0
9,68,6053.25,5,1
9,31,0.01,4,0
8,70,19053.82,15,0
7,72,20526.96,3,0
9,37,6000,1,1
8,58,10053.35,7,0
7,47,0.02,5,0
8,71,1000,6,0
8,62,1000,5,1
8,39,2241.36,4,1
6,76,12000,19,0
7,61,6000,11,1
8,60,60,11,1
15,42,0.01,5,1
10,57,50,11,0
6,45,0.01,4,0
11,75,3052.66,8,1
8,37,0.01,5,1
19,39,0.01,8,1
8,57,9000,9,0
13,18,6000,1,0
9,50,20000,4,0
7,78,2000,24,0
5,61,0.01,5,0
11,66,2000,5,0
9,48,3000,2,0
8,53,100,1,0
9,68,0.01,7,0
8,47,0.01,5,0
11,39,2800,1,1
12,72,0.01,8,0
10,67,6000,4,0
9,60,0.01,8,0
11,52,0.01,9,0
7,55,0.01,8,0
13,41,0.01,7,1
16,34,3000,3,1
6,40,1500,7,1
9,35,0.01,4,1
7,50,5000,10,0
9,60,8100,5,0
8,49,7600,4,0
6,57,2000,8,0
6,75,10000,17,0
8,52,2500,6,1
12,74,6000,5,0
9,79,5000,5,0
3,38,50,9,1
9,58,5000,5,0
4,52,1800,4,0
3,45,100.01,9,0
9,42,2000,4,0
11,27,0.01,7,1
4,60,0.01,8,0
7,42,0.01,4,0
4,57,0.01,5,0
10,72,11105.32,8,0
7,37,0.01,5,0
9,76,2000,8,1
6,45,0.01,5,0
12,61,4000,1,0
5,56,0.01,9,0
8,51,9000.01,8,0
9,50,12000,2,0
8,41,1675,7,1
8,60,100.01,8,0
10,70,2250,8,0
9,50,0.01,9,1
15,37,0.01,8,1
9,74,3000,5,0
9,53,6000,4,0
7,51,3026.67,10,0
5,62,56053.35,7,0
3,46,0.1,10,0
10,39,7500,2,1
6,53,3000,6,1
7,48,5000,4,0
7,62,12808.95,11,0
9,26,4000,1,0
6,43,6000,2,0
7,78,6000,5,0
3,67,12049.25,3,0
2,45,0.01,5,0
13,68,7500,6,0
5,53,0.01,8,0
5,51,420,8,0
6,51,200,1,0
11,36,0.01,4,0
8,63,6000,2,0
8,69,500,9,0
11,40,0.01,5,1
4,46,2165.75,11,0
8,46,2245,11,1
9,38,0.01,5,1
4,67,11000,5,0
5,53,9000,8,0
6,55,5000,4,1
9,54,3000,8,0
6,45,0.01,5,0
5,58,420,4,0
8,33,0.01,5,1
11,35,0.01,8,1
4,71,6000,12,0
10,55,0.01,4,0
13,53,6871.12,5,0
9,58,1500,19,0
13,43,0.01,5,0
8,47,0.01,5,0
4,74,6000,2,0
10,49,5000,1,0
9,58,3000,9,0
8,56,0.01,8,0
5,47,6000,1,0
14,30,100,1,1
3,68,50000,4,1
8,45,1000,4,0
7,71,12000,6,0
10,65,9053.35,8,0
10,74,19000,5,0
10,43,0.01,5,1
11,44,500,9,0
7,46,17409.76,12,0
8,29,2000,12,0
7,53,0.01,5,1
9,64,1000,12,0
10,49,3000,5,1
17,59,12000,8,1
8,37,0.01,5,0
15,51,3000,8,1
18,51,3000,3,0
5,58,3050,11,0
9,46,0.01,9,0
4,61,6000,1,0
9,38,0.01,5,1
7,68,15000.01,6,0
12,76,6000,2,0
4,56,0.01,8,0
8,73,360,1,1
8,37,0.01,9,1
11,74,3350,4,0
5,60,5000,2,0
10,35,1500,4,0
6,46,6544.99,1,0
3,46,6000,5,0
5,70,21684.94,0,0
12,49,3000,3,0
4,63,3026.67,7,0
7,43,0.01,5,0
8,64,12000,2,0
12,31,1100,9,0
11,41,1000,5,0
9,45,0.01,8,0
9,40,0.01,5,0
7,70,12000,2,0
8,52,6000,2,0
6,38,0.01,9,1
8,43,50,10,0
7,37,0.01,5,0
7,42,0.01,5,0
15,33,0.02,7,1
